email_id,sender,subject,true_label,bert_prob,bert_pred,xgb_prob,xgb_pred,fusion_prob,fusion_pred,nlp_score,url_score,header_score,attachment_score,sender_behavior_score,category,expert_explanation
18,hr-system@mycompany-internal.com,URGENT: Verify your direct deposit payroll info,1,0.9675,1,0.9891,1,0.9891,1,0.9675,0.0,0.85,0.75,0.85,CATEGORY_D (Both Catch),"Multi-signal threat containing both strong semantic urgency/credential theft cues and identifiable technical indicators (lookalike URLs, brand spoofing, or abnormal headers)."
19,colleague@mycompany.com,Project Aegis kickoff meeting sync,0,0.6802,1,0.0037,0,0.0037,0,0.6802,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
20,colleague@mycompany.com,Project Report,0,0.6244,1,0.0037,0,0.0037,0,0.6244,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
21,professor@university.edu,Assignment 1 Deadline,0,0.7235,1,0.0037,0,0.0037,0,0.7235,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
22,client@partnercompany.com,Meeting at 3 PM,0,0.6078,1,0.0037,0,0.0037,0,0.6078,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
23,noreply@github.com,[GitHub] Security Alert: dependency vulnerability,0,0.8053,1,0.0078,0,0.0078,0,0.8053,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
24,friend@gmail.com,Dinner tonight?,0,0.6181,1,0.0037,0,0.0037,0,0.6181,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
25,it-support@mycompany.com,New Office Guest Wi-Fi & Intranet Access,0,0.98,1,0.028,0,0.028,0,0.98,0.0,0.0,0.75,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
26,hr@mycompany.com,Company Holiday Schedule 2026,0,0.76,1,0.0037,0,0.0037,0,0.76,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
27,finance@mycompany.com,Monthly Financial Audit Checklist,0,0.8641,1,0.0078,0,0.0078,0,0.8641,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
28,devops@mycompany.com,Scheduled Infrastructure Maintenance Window,0,0.7167,1,0.0037,0,0.0037,0,0.7167,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
29,marketing@mycompany.com,Q4 Marketing Assets & Product One-Pagers,0,0.9203,1,0.0137,0,0.0137,0,0.9203,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
30,vendor@verified-partner.com,Quarterly Software License Invoice #9021,0,0.7851,1,0.0078,0,0.0078,0,0.7851,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
31,recruiter@techrecruiting.com,Interview Follow-Up: Senior Engineering Role,0,0.7687,1,0.0037,0,0.0037,0,0.7687,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
32,support@zendesk.com,Ticket #49201 Resolved: Printer Configuration,0,0.7465,1,0.0537,0,0.0537,0,0.7465,0.0,0.45,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
33,newsletter@techcrunch.com,Daily Tech Digest: AI Breakthroughs & Cybersecurity Trends,0,0.8795,1,0.0078,0,0.0078,0,0.8795,0.0,0.0,0.0,0.0,FALSE_POSITIVE (False Alarm),Safe email incorrectly flagged by BERT (NLP semantic false positive).
