event_id,channel,timestamp,sender,recipient,subject,body,urls,language,origin,campaign_id,threat_theme,qr_payloads
EVT_004_W,whatsapp,2026-03-18T17:02:00Z,+919123456789,,,"HDFC Rewards Desk: Aapka Rs. 9,850 cashback claim pending hai. Claim link: http://hdfc-points-redeem-online.invalid/redeem",['http://hdfc-points-redeem-online.invalid/redeem'],hi+en,synthetic,CAMP_004_HDFC_REWARDS,Credit Card Reward & Points Scam,
EVT_005_S,sms,2026-03-20T10:05:00Z,AT-5GKYC,,,"Dear Airtel user, your SIM card will be blocked within 24 hrs due to missing 5G KYC. Update now: http://tiny.example/airtel-kyc",['http://tiny.example/airtel-kyc'],en,synthetic,CAMP_005_AIRTEL_SIM,Telecom SIM Deactivation Lure,
EVT_005_W,whatsapp,2026-03-20T10:18:00Z,+919988776655,,,Airtel Customer Care: Ungal Airtel SIM 24 hours la deactivate aagum. Aadhaar upload panni activate pannunga: http://airtel-5g-kyc-reactivate.invalid/sim,['http://airtel-5g-kyc-reactivate.invalid/sim'],ta+en,synthetic,CAMP_005_AIRTEL_SIM,Telecom SIM Deactivation Lure,
EVT_006_E,email,2026-03-22T08:30:00Z,refunds@incometax-gov-refund-claim.invalid,taxpayer@domain.com,"Income Tax Department: Refund of Rs 24,500 Approved","Your tax refund of INR 24,500 for AY 2025-26 has been approved. Please verify your account number and credentials to disburse: https://incometax-gov-refund-claim.invalid/claim",['https://incometax-gov-refund-claim.invalid/claim'],en,synthetic,CAMP_006_IT_REFUND,Tax Refund & Government Grant Scam,
EVT_006_S,sms,2026-03-22T08:45:00Z,IT-DEPT,,,"आयकर विभाग: आपका 24,500 रुपये का रिफंड तैयार है। बैंक खाते में प्राप्त करने के लिए लिंक खोलें: http://short.example/it-ref",['http://short.example/it-ref'],hi,synthetic,CAMP_006_IT_REFUND,Tax Refund & Government Grant Scam,
EVT_007_S,sms,2026-03-25T13:00:00Z,+919444332211,,,Amazon HR: Earn Rs. 3000 to 8000 daily with part-time work from home. Contact HR on WhatsApp now: https://t.example/task-jobs,['https://t.example/task-jobs'],en,synthetic,CAMP_007_JOB_SCAM,Recruitment & Part-Time Task Scam,
EVT_007_W,whatsapp,2026-03-25T13:15:00Z,+919444332211,,,Namaste! Amazon Hiring Team me aapka welcome hai. Daily tasks complete karke guaranteed payout payein. Register here: http://careers-amazon-parttime-tasks.invalid/apply,['http://careers-amazon-parttime-tasks.invalid/apply'],hi+en,synthetic,CAMP_007_JOB_SCAM,Recruitment & Part-Time Task Scam,
EVT_BEN_01_E,email,2026-03-28T09:00:00Z,hr@mycompany.com,all-staff@mycompany.com,Company Holiday Notice: Festival Holiday Schedule,"Dear team, please note the office will remain closed on upcoming Friday for the holiday. Review policy at https://portal.mycompany.com/announcements",['https://portal.mycompany.com/announcements'],en,real,BENIGN_001_CORP_SYNC,Legitimate Corporate Announcements,
EVT_BEN_01_S,sms,2026-03-28T09:05:00Z,MYCORP,,,MyCompany Update: Friday is an official holiday. Enjoy the long weekend!,[],en,real,BENIGN_001_CORP_SYNC,Legitimate Corporate Announcements,
EVT_BEN_02_S,sms,2026-03-29T18:00:00Z,HDFCBK,,,"Rs. 1,500.00 debited from A/C **1234 on 29-Mar at RELIANCE RETAIL. Available Bal: Rs. 45,210. Not you? Call 18002664332.",[],en,real,BENIGN_002_BANK_ALERT,Legitimate Bank Transaction Alerts,
EVT_BEN_02_E,email,2026-03-29T18:02:00Z,alerts@hdfcbank.com,user@mycompany.com,"Transaction Alert: INR 1,500.00 Debited","Dear Customer, transaction of INR 1,500.00 was authorized on your debit card ending in 1234. Log in at https://netbanking.hdfcbank.com for statements.",['https://netbanking.hdfcbank.com'],en,real,BENIGN_002_BANK_ALERT,Legitimate Bank Transaction Alerts,
EVT_008_E,email,2026-03-26T19:00:00Z,support@netflix-update-billing-card.invalid,user@company.com,Your Netflix membership is on hold,We were unable to process your payment for next billing cycle. Please update payment method here: http://netflix-update-billing-card.invalid/renew,['http://netflix-update-billing-card.invalid/renew'],en,synthetic,CAMP_008_NETFLIX,Streaming Subscription Payment Lure,
EVT_008_S,sms,2026-03-26T19:15:00Z,NFLX-PAY,,,Netflix: Aapka subscription suspend ho gaya hai. Reactivate karne ke liye link dekhein: http://tiny.example/nflx-pay,['http://tiny.example/nflx-pay'],hi+en,synthetic,CAMP_008_NETFLIX,Streaming Subscription Payment Lure,
EVT_009_W,whatsapp,2026-03-27T12:00:00Z,+919811223344,,,"बधाई हो! आपको 1,999 रुपये का कैशबैक मिला है। तुरंत स्कैन करके अपने खाते में प्राप्त करें: https://paytm-cashback-scan-qr.invalid/reward",['https://paytm-cashback-scan-qr.invalid/reward'],hi,synthetic,CAMP_009_PAYTM_QR,UPI Cashback QR Payment Lure,['https://redirect.example/paytm-qr']
EVT_009_S,sms,2026-03-27T12:10:00Z,PAYTM-RW,,,"Paytm Alert: You won Rs. 1,999 cashback reward. Claim before expiry: https://paytm-cashback-scan-qr.invalid/reward",['https://paytm-cashback-scan-qr.invalid/reward'],en,synthetic,CAMP_009_PAYTM_QR,UPI Cashback QR Payment Lure,
EVT_010_S,sms,2026-03-28T07:30:00Z,GOV-KISAN,,,पीएम किसान योजना: आपकी 16वीं किस्त रोक दी गई है। आधार और बैंक ई-केवाईसी तुरंत पूरा करें: http://short.example/kisan-16,['http://short.example/kisan-16'],hi,synthetic,CAMP_010_PM_KISAN,Government Grant & Scheme Scam,
EVT_010_W,whatsapp,2026-03-28T07:45:00Z,+919711223344,,,"किसान सहायता केंद्र: अपनी रु. 2,000 की किस्त प्राप्त करने हेतु खाता सत्यापित करें: http://pmkisan-yojana-16th-kist.invalid/verify",['http://pmkisan-yojana-16th-kist.invalid/verify'],hi,synthetic,CAMP_010_PM_KISAN,Government Grant & Scheme Scam,
