subject,body,text,language,script,code_mixed,transliterated,label,origin_type,template_group
आईआरसीटीसी टिकट बुकिंग पुष्टि,आपकी ट्रेन टिकट की बुकिंग सफल रही है। पीएनआर नंबर 4829102910 है। यात्रा मंगलमय हो।,"आईआरसीटीसी टिकट बुकिंग पुष्टि
आपकी ट्रेन टिकट की बुकिंग सफल रही है। पीएनआर नंबर 4829102910 है। यात्रा मंगलमय हो।",hi,devanagari,False,False,0,real_curated,legit_travel_hi_05
मासिक प्रगति रिपोर्ट,मासिक रिपोर्ट संलग्न है। कृपया इसकी समीक्षा करें और अपनी प्रतिक्रिया दें।,"मासिक प्रगति रिपोर्ट
मासिक रिपोर्ट संलग्न है। कृपया इसकी समीक्षा करें और अपनी प्रतिक्रिया दें।",hi,devanagari,False,False,0,real_curated,legit_corp_hi_06
सिस्टम रखरखाव सूचना,कृपया ध्यान दें कि सर्वर रखरखाव के कारण शनिवार रात को 2 घंटे वेबसाइट बंद रहेगी।,"सिस्टम रखरखाव सूचना
कृपया ध्यान दें कि सर्वर रखरखाव के कारण शनिवार रात को 2 घंटे वेबसाइट बंद रहेगी।",hi,devanagari,False,False,0,real_curated,legit_it_hi_07
வங்கி கணக்கு முடக்கம் எச்சரிக்கை,"அன்புள்ள வாடிக்கையாளரே, உங்கள் எஸ்பிஐ வங்கி கணக்கு இன்று இரவு முடக்கப்படும். உடனே கேஒய்சி சரிபார்க்கவும்: http://sbi-tamil-kyc.in","வங்கி கணக்கு முடக்கம் எச்சரிக்கை
அன்புள்ள வாடிக்கையாளரே, உங்கள் எஸ்பிஐ வங்கி கணக்கு இன்று இரவு முடக்கப்படும். உடனே கேஒய்சி சரிபார்க்கவும்: http://sbi-tamil-kyc.in",ta,tamil,False,False,1,real_curated,kyc_ta_01
மின் இணைப்பு துண்டிப்பு எச்சரிக்கை,கடைசி எச்சரிக்கை: உங்கள் மின் கட்டணம் செலுத்தப்படவில்லை. இன்றே துண்டிக்கப்படும். செலுத்த கிளிக் செய்யவும்: http://tneb-bill-pay.xyz,"மின் இணைப்பு துண்டிப்பு எச்சரிக்கை
கடைசி எச்சரிக்கை: உங்கள் மின் கட்டணம் செலுத்தப்படவில்லை. இன்றே துண்டிக்கப்படும். செலுத்த கிளிக் செய்யவும்: http://tneb-bill-pay.xyz",ta,tamil,False,False,1,real_curated,utility_ta_02
வரி திரும்பப்பெறுதல் அறிவிப்பு,"வருமான வரித்துறை: உங்களுக்கு ரூ. 18,500 வரி திரும்பப்பெறுதல் தயாராக உள்ளது. பெற வங்கி விவரங்களை உள்ளிடவும்: http://it-refund-tamil.top","வரி திரும்பப்பெறுதல் அறிவிப்பு
வருமான வரித்துறை: உங்களுக்கு ரூ. 18,500 வரி திரும்பப்பெறுதல் தயாராக உள்ளது. பெற வங்கி விவரங்களை உள்ளிடவும்: http://it-refund-tamil.top",ta,tamil,False,False,1,real_curated,tax_ta_03
ஜிபே பாதுகாப்பு எச்சரிக்கை,எச்சரிக்கை: உங்கள் ஜிபே கணக்கில் சந்தேகத்திற்கிடமான பரிவர்த்தனை நடந்துள்ளது. ரத்து செய்ய கிளிக் செய்யவும்: http://gpay-cancel-tamil.site,"ஜிபே பாதுகாப்பு எச்சரிக்கை
எச்சரிக்கை: உங்கள் ஜிபே கணக்கில் சந்தேகத்திற்கிடமான பரிவர்த்தனை நடந்துள்ளது. ரத்து செய்ய கிளிக் செய்யவும்: http://gpay-cancel-tamil.site",ta,tamil,False,False,1,real_curated,upi_ta_04
பரிசு குலுக்கல் வெற்றி அறிவிப்பு,வாழ்த்துக்கள்! உங்கள் தொலைபேசி எண் ரூ. 10 லட்சம் பரிசு வென்றுள்ளது. பெற வங்கி விவரங்களை பகிரவும்.,"பரிசு குலுக்கல் வெற்றி அறிவிப்பு
வாழ்த்துக்கள்! உங்கள் தொலைபேசி எண் ரூ. 10 லட்சம் பரிசு வென்றுள்ளது. பெற வங்கி விவரங்களை பகிரவும்.",ta,tamil,False,False,1,real_curated,lottery_ta_05
ஏடிஎம் கார்டு புதுப்பித்தல்,முக்கிய அறிவிப்பு: உங்கள் ஏடிஎம் கார்டு காலாவதியாகிறது. புதுப்பிக்க உடனே கடவுச்சொல் சரிபார்க்கவும்: http://card-renew-tamil.biz,"ஏடிஎம் கார்டு புதுப்பித்தல்
முக்கிய அறிவிப்பு: உங்கள் ஏடிஎம் கார்டு காலாவதியாகிறது. புதுப்பிக்க உடனே கடவுச்சொல் சரிபார்க்கவும்: http://card-renew-tamil.biz",ta,tamil,False,False,1,real_curated,card_ta_06
சிம் கார்டு கேஒய்சி சரிபார்ப்பு,உங்கள் ஏர்டெல் சிம் கார்டு 24 மணி நேரத்தில் முடக்கப்படும். உடனே ஆவணங்களை புதுப்பிக்கவும்: http://airtel-kyc-tamil.online,"சிம் கார்டு கேஒய்சி சரிபார்ப்பு
உங்கள் ஏர்டெல் சிம் கார்டு 24 மணி நேரத்தில் முடக்கப்படும். உடனே ஆவணங்களை புதுப்பிக்கவும்: http://airtel-kyc-tamil.online",ta,tamil,False,False,1,real_curated,telecom_ta_07
அரசு மகளிர் உதவித்தொகை,"அரசு நலத்திட்டம்: குடும்ப தலைவிகளுக்கு ரூ. 5,000 உதவித்தொகை. பெற ஆதார் எண்ணை உள்ளிடவும்: http://tn-gov-scheme-verify.in","அரசு மகளிர் உதவித்தொகை
அரசு நலத்திட்டம்: குடும்ப தலைவிகளுக்கு ரூ. 5,000 உதவித்தொகை. பெற ஆதார் எண்ணை உள்ளிடவும்: http://tn-gov-scheme-verify.in",ta,tamil,False,False,1,real_curated,gov_ta_08
தபால் டெலிவரி தோல்வி எச்சரிக்கை,அவசர அறிவிப்பு: உங்கள் பார்சல் டெலிவரி செய்ய முடியவில்லை. முகவரியை சரிபார்க்க ரூ. 10 செலுத்தவும்: http://india-post-tamil.top,"தபால் டெலிவரி தோல்வி எச்சரிக்கை
அவசர அறிவிப்பு: உங்கள் பார்சல் டெலிவரி செய்ய முடியவில்லை. முகவரியை சரிபார்க்க ரூ. 10 செலுத்தவும்: http://india-post-tamil.top",ta,tamil,False,False,1,real_curated,delivery_ta_10
வங்கி கணக்கு வரவு அறிவிப்பு,"அன்புள்ள வாடிக்கையாளரே, உங்கள் கணக்கில் ரூ. 2,000 வரவு வைக்கப்பட்டுள்ளது. விவரங்களுக்கு அதிகாரப்பூர்வ செயலியை பார்க்கவும்.","வங்கி கணக்கு வரவு அறிவிப்பு
அன்புள்ள வாடிக்கையாளரே, உங்கள் கணக்கில் ரூ. 2,000 வரவு வைக்கப்பட்டுள்ளது. விவரங்களுக்கு அதிகாரப்பூர்வ செயலியை பார்க்கவும்.",ta,tamil,False,False,0,real_curated,legit_bank_ta_01
பொங்கல் விடுமுறை அறிவிப்பு,பொங்கல் பண்டிகையை முன்னிட்டு அலுவலகத்திற்கு 3 நாட்கள் விடுமுறை அளிக்கப்படுகிறது.,"பொங்கல் விடுமுறை அறிவிப்பு
பொங்கல் பண்டிகையை முன்னிட்டு அலுவலகத்திற்கு 3 நாட்கள் விடுமுறை அளிக்கப்படுகிறது.",ta,tamil,False,False,0,real_curated,legit_hr_ta_03
தேர்வு முடிவுகள் வெளியீடு,உங்கள் கல்லூரி தேர்வு முடிவுகள் இணையதளத்தில் வெளியிடப்பட்டுள்ளன. பார்த்துக்கொள்ளவும்.,"தேர்வு முடிவுகள் வெளியீடு
உங்கள் கல்லூரி தேர்வு முடிவுகள் இணையதளத்தில் வெளியிடப்பட்டுள்ளன. பார்த்துக்கொள்ளவும்.",ta,tamil,False,False,0,real_curated,legit_edu_ta_04
ரயில் டிக்கெட் பதிவு உறுதி,உங்கள் ரயில் டிக்கெட் முன்பதிவு வெற்றிகரமாக முடிந்தது. நல்வரவு.,"ரயில் டிக்கெட் பதிவு உறுதி
உங்கள் ரயில் டிக்கெட் முன்பதிவு வெற்றிகரமாக முடிந்தது. நல்வரவு.",ta,tamil,False,False,0,real_curated,legit_travel_ta_05
விற்பனை அறிக்கை பகிர்வு,மாதாந்திர விற்பனை அறிக்கை இணைக்கப்பட்டுள்ளது. தயவுசெய்து சரிபார்க்கவும்.,"விற்பனை அறிக்கை பகிர்வு
மாதாந்திர விற்பனை அறிக்கை இணைக்கப்பட்டுள்ளது. தயவுசெய்து சரிபார்க்கவும்.",ta,tamil,False,False,0,real_curated,legit_corp_ta_06
இணைய சேவை பராமரிப்பு,அலுவலக இணைய சேவை பராமரிப்பு காரணமாக ஞாயிறு காலை சிறிது நேரம் தடைபடலாம்.,"இணைய சேவை பராமரிப்பு
அலுவலக இணைய சேவை பராமரிப்பு காரணமாக ஞாயிறு காலை சிறிது நேரம் தடைபடலாம்.",ta,tamil,False,False,0,real_curated,legit_it_ta_07
மருத்துவ காப்பீட்டு படிவம்,ஆண்டு மருத்துவ காப்பீட்டு படிவத்தை பூர்த்தி செய்து சமர்ப்பிக்கவும்.,"மருத்துவ காப்பீட்டு படிவம்
ஆண்டு மருத்துவ காப்பீட்டு படிவத்தை பூர்த்தி செய்து சமர்ப்பிக்கவும்.",ta,tamil,False,False,0,real_curated,legit_hr_ta_08
Urgent: Account block warning,"Dear customer, aapka bank account block ho jayega within 24 hours. Please click link to verify KYC: http://bank-kyc-update.xyz","Urgent: Account block warning
Dear customer, aapka bank account block ho jayega within 24 hours. Please click link to verify KYC: http://bank-kyc-update.xyz",hi+en,latin,True,True,1,synthetic_augmented,hinglish_phish_01
Electricity disconnection notice,Important: Aapka electricity bill unpaid hai. Aaj power cut ho jayega. Pay now immediately: http://bijli-pay.online,"Electricity disconnection notice
Important: Aapka electricity bill unpaid hai. Aaj power cut ho jayega. Pay now immediately: http://bijli-pay.online",hi+en,latin,True,True,1,synthetic_augmented,hinglish_phish_02
Tax refund credit alert,"Income Tax Alert: Aapka refund of Rs 35,000 approve ho gaya hai. Account details verify karein: http://tax-refund-gov.in","Tax refund credit alert
Income Tax Alert: Aapka refund of Rs 35,000 approve ho gaya hai. Account details verify karein: http://tax-refund-gov.in",hi+en,latin,True,True,1,synthetic_augmented,hinglish_phish_03
Credit card suspension notice,Urgent: Aapka credit card suspend ho raha hai due to inactivity. Reactivate karne ke liye CVV aur OTP enter karein: http://card-reactivate.site,"Credit card suspension notice
Urgent: Aapka credit card suspend ho raha hai due to inactivity. Reactivate karne ke liye CVV aur OTP enter karein: http://card-reactivate.site",hi+en,latin,True,True,1,synthetic_augmented,hinglish_phish_06
Payroll credential verification,"Dear Employee, aapka salary disbursement hold pe hai. Verify your PAN and bank credentials here: http://payroll-portal-login.net","Payroll credential verification
Dear Employee, aapka salary disbursement hold pe hai. Verify your PAN and bank credentials here: http://payroll-portal-login.net",hi+en,latin,True,True,1,synthetic_augmented,hinglish_phish_08
Amazon order fraud alert,"Your Amazon order of Rs 45,999 placed successfully. Agar aapne order nahi kiya to click karke cancel karein: http://amazon-order-cancel.xyz","Amazon order fraud alert
Your Amazon order of Rs 45,999 placed successfully. Agar aapne order nahi kiya to click karke cancel karein: http://amazon-order-cancel.xyz",hi+en,latin,True,True,1,synthetic_augmented,hinglish_phish_09
Quarterly budget review,"Hi team, please find the quarterly budget report attached. Feedback submit karein by Friday.","Quarterly budget review
Hi team, please find the quarterly budget report attached. Feedback submit karein by Friday.",hi+en,latin,True,True,0,real_curated,legit_hinglish_01
Project status sync meeting,"Team, kal subah 10 AM project status sync meeting hai. Please join on Google Meet.","Project status sync meeting
Team, kal subah 10 AM project status sync meeting hai. Please join on Google Meet.",hi+en,latin,True,True,0,real_curated,legit_hinglish_02
Annual performance appraisal,Please complete your performance self-review on HR portal before weekend.,"Annual performance appraisal
Please complete your performance self-review on HR portal before weekend.",hi+en,latin,True,True,0,real_curated,legit_hinglish_04
Office Wi-Fi maintenance window,Office Wi-Fi maintenance Saturday ko schedule hai. Intermittent downtime expect karein.,"Office Wi-Fi maintenance window
Office Wi-Fi maintenance Saturday ko schedule hai. Intermittent downtime expect karein.",hi+en,latin,True,True,0,real_curated,legit_hinglish_05
Lunch catch-up,"Thanks for the lunch today, it was really great catching up with everyone.","Lunch catch-up
Thanks for the lunch today, it was really great catching up with everyone.",hi+en,latin,True,True,0,real_curated,legit_hinglish_06
Urgent: Bank account block warning,"Dear customer, ungal bank account block aagum within 24 hours. Immediate aa link click panni KYC verify pannunga: http://sbi-tamil-kyc.in","Urgent: Bank account block warning
Dear customer, ungal bank account block aagum within 24 hours. Immediate aa link click panni KYC verify pannunga: http://sbi-tamil-kyc.in",ta+en,latin,True,True,1,synthetic_augmented,tanglish_phish_01
Income tax refund claim,"Income tax refund Rs 22,000 ready aa irukku. Ungal account details submit panni claim pannunga: http://it-refund-tamil.top","Income tax refund claim
Income tax refund Rs 22,000 ready aa irukku. Ungal account details submit panni claim pannunga: http://it-refund-tamil.top",ta+en,latin,True,True,1,synthetic_augmented,tanglish_phish_03
Google Pay unauthorized transaction,Google Pay security alert: Ungal account la suspicious transaction detect aagirukku. Cancel panna click pannunga: http://gpay-cancel.site,"Google Pay unauthorized transaction
Google Pay security alert: Ungal account la suspicious transaction detect aagirukku. Cancel panna click pannunga: http://gpay-cancel.site",ta+en,latin,True,True,1,synthetic_augmented,tanglish_phish_04
Lottery prize winner announcement,Congratulations! Ungal mobile number ku Rs 10 Lakh lottery prize kedachurukku. Claim panna bank OTP share pannunga.,"Lottery prize winner announcement
Congratulations! Ungal mobile number ku Rs 10 Lakh lottery prize kedachurukku. Claim panna bank OTP share pannunga.",ta+en,latin,True,True,1,synthetic_augmented,tanglish_phish_05
Airtel SIM KYC update,Airtel SIM 24 hours la deactivate aagum. Urgent aa e-KYC complete pannunga: http://airtel-kyc.online,"Airtel SIM KYC update
Airtel SIM 24 hours la deactivate aagum. Urgent aa e-KYC complete pannunga: http://airtel-kyc.online",ta+en,latin,True,True,1,synthetic_augmented,tanglish_phish_06
Amazon order fraud cancellation,Ungal Amazon order of iPhone 15 placed. Neenga order panalana click panni cancel pannunga: http://amazon-cancel.xyz,"Amazon order fraud cancellation
Ungal Amazon order of iPhone 15 placed. Neenga order panalana click panni cancel pannunga: http://amazon-cancel.xyz",ta+en,latin,True,True,1,synthetic_augmented,tanglish_phish_08
India Post parcel delivery failure,India Post delivery failure: Ungal parcel deliver aagala. Re-delivery ku Rs 25 pay pannunga: http://india-post-redelivery.info,"India Post parcel delivery failure
India Post delivery failure: Ungal parcel deliver aagala. Re-delivery ku Rs 25 pay pannunga: http://india-post-redelivery.info",ta+en,latin,True,True,1,synthetic_augmented,tanglish_phish_10
Project progress report review,"Hi team, project progress report attach panniruken. Check pannitu feedback sollunga.","Project progress report review
Hi team, project progress report attach panniruken. Check pannitu feedback sollunga.",ta+en,latin,True,True,0,real_curated,legit_tanglish_01
Pongal celebration announcement,Pongal festival celebration Friday office la irukku. Traditional wear allow pannuvanga.,"Pongal celebration announcement
Pongal festival celebration Friday office la irukku. Traditional wear allow pannuvanga.",ta+en,latin,True,True,0,real_curated,legit_tanglish_03
Cafeteria weekly menu,Office cafeteria menu update aagirukku. Weekly schedule intranet la irukku.,"Cafeteria weekly menu
Office cafeteria menu update aagirukku. Weekly schedule intranet la irukku.",ta+en,latin,True,True,0,real_curated,legit_tanglish_05
Client call summary,Client call notes attach panniruken. Action items assign pannidalam.,"Client call summary
Client call notes attach panniruken. Action items assign pannidalam.",ta+en,latin,True,True,0,real_curated,legit_tanglish_06
Server maintenance schedule,IT team server maintenance Sunday early morning schedule pannirukanga.,"Server maintenance schedule
IT team server maintenance Sunday early morning schedule pannirukanga.",ta+en,latin,True,True,0,real_curated,legit_tanglish_07
Team lunch plan,Team lunch plan pannalam on Friday. Ellarum timing confirm pannunga.,"Team lunch plan
Team lunch plan pannalam on Friday. Ellarum timing confirm pannunga.",ta+en,latin,True,True,0,real_curated,legit_tanglish_08
apka sbi khata verification,apka sbi bank khata aaj raat band ho jayega. turant kyc verify karein: http://sbi-kyc-renew.in,"apka sbi khata verification
apka sbi bank khata aaj raat band ho jayega. turant kyc verify karein: http://sbi-kyc-renew.in",hi,latin,False,True,1,augmented_transliteration,rom_hi_phish_01
bijli bill disconnection,bijli bill jama nahi hua hai. aaj connection cut ho jayega. abhi pay karein: http://bijli-pay.xyz,"bijli bill disconnection
bijli bill jama nahi hua hai. aaj connection cut ho jayega. abhi pay karein: http://bijli-pay.xyz",hi,latin,False,True,1,augmented_transliteration,rom_hi_phish_02
income tax refund,income tax refund 15000 rupaye manzoor hua hai. claim karne ke liye login karein: http://tax-refund.top,"income tax refund
income tax refund 15000 rupaye manzoor hua hai. claim karne ke liye login karein: http://tax-refund.top",hi,latin,False,True,1,augmented_transliteration,rom_hi_phish_03
sim band hone ka notice,sim card 24 ghante me band ho jayega. aadhar kyc abhi karein: http://sim-kyc.biz,"sim band hone ka notice
sim card 24 ghante me band ho jayega. aadhar kyc abhi karein: http://sim-kyc.biz",hi,latin,False,True,1,augmented_transliteration,rom_hi_phish_06
monthly report review,monthly report attach kar di hai. check karke feedback dena.,"monthly report review
monthly report attach kar di hai. check karke feedback dena.",hi,latin,False,True,0,real_curated,legit_rom_hi_02
health insurance form,health insurance form hr portal par submit karein by friday.,"health insurance form
health insurance form hr portal par submit karein by friday.",hi,latin,False,True,0,real_curated,legit_rom_hi_04
sbi account block warning,ungal sbi bank account inaiku block aagum. udane kyc verify pannunga: http://sbi-tamil-kyc.in,"sbi account block warning
ungal sbi bank account inaiku block aagum. udane kyc verify pannunga: http://sbi-tamil-kyc.in",ta,latin,False,True,1,augmented_transliteration,rom_ta_phish_01
eb bill cut notice,eb current bill kattala. power cut aaga poguthu. udane kattunga: http://tneb-bill.xyz,"eb bill cut notice
eb current bill kattala. power cut aaga poguthu. udane kattunga: http://tneb-bill.xyz",ta,latin,False,True,1,augmented_transliteration,rom_ta_phish_02
lottery prize win,lottery la 5 latcham jeyichurukinga. prize vaanga otp share pannunga.,"lottery prize win
lottery la 5 latcham jeyichurukinga. prize vaanga otp share pannunga.",ta,latin,False,True,1,augmented_transliteration,rom_ta_phish_05
sim deactivate warning,sim card inaiku deactivate aagum. udane kyc update pannunga: http://sim-kyc.online,"sim deactivate warning
sim card inaiku deactivate aagum. udane kyc update pannunga: http://sim-kyc.online",ta,latin,False,True,1,augmented_transliteration,rom_ta_phish_06
atm card block alert,atm card block aagirukku. unblock panna click pannunga: http://card-unblock.xyz,"atm card block alert
atm card block aagirukku. unblock panna click pannunga: http://card-unblock.xyz",ta,latin,False,True,1,augmented_transliteration,rom_ta_phish_08
project meeting timing,naalaiku mathiyam 2 maniku meeting irukku. ellarum attend pannunga.,"project meeting timing
naalaiku mathiyam 2 maniku meeting irukku. ellarum attend pannunga.",ta,latin,False,True,0,real_curated,legit_rom_ta_01
monthly report check,monthly report attach panniruken. check pannitu sollunga.,"monthly report check
monthly report attach panniruken. check pannitu sollunga.",ta,latin,False,True,0,real_curated,legit_rom_ta_02
pongal leave notice,pongal leave 3 days irukku. office circular intranet la irukku.,"pongal leave notice
pongal leave 3 days irukku. office circular intranet la irukku.",ta,latin,False,True,0,real_curated,legit_rom_ta_03
medical insurance form,medical insurance form fill panni submit pannunga.,"medical insurance form
medical insurance form fill panni submit pannunga.",ta,latin,False,True,0,real_curated,legit_rom_ta_04
ticket confirm,train ticket confirm aayiduchu. safe journey.,"ticket confirm
train ticket confirm aayiduchu. safe journey.",ta,latin,False,True,0,real_curated,legit_rom_ta_05
internet maintenance,sunday morning internet maintenance nadakkum.,"internet maintenance
sunday morning internet maintenance nadakkum.",ta,latin,False,True,0,real_curated,legit_rom_ta_06
